pid,seed,cost,incb
0,983439,3.806424,"{'avg_value': 0.3829993415688693, 'avg_value_by_weight': 0.6054771442307856, 'max_value': -0.8926260743249268, 'max_value_by_weight': 0.7251835049186495, 'min_value': 0.09230123224299369, 'min_value_by_weight': 0.17012025381354157, 'weight': 0.23872357254522503}"
1,777,87.154638,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
2,777,33.320266,"{'avg_value': -0.8809054631169908, 'avg_value_by_weight': -0.6612788374083114, 'max_value': -0.04654270266924865, 'max_value_by_weight': 0.958436761904466, 'min_value': -0.701872468963495, 'min_value_by_weight': 0.6207679421816148, 'weight': -0.6412424226098734}"
3,470,148.821223,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
4,470,4.254018,"{'avg_value': 0.07738198303204014, 'avg_value_by_weight': 0.8287824809100601, 'max_value': -0.7266245196539508, 'max_value_by_weight': 0.6027707765634154, 'min_value': 0.6082208681158463, 'min_value_by_weight': -0.09238383365511849, 'weight': 0.4433615004723299}"
5,777,9.831681,"{'avg_value': -0.24048085057570845, 'avg_value_by_weight': 0.16956052326595006, 'max_value': -0.7939260675348072, 'max_value_by_weight': -0.05130075173798476, 'min_value': -0.039486254771034734, 'min_value_by_weight': 0.8653442404046574, 'weight': -0.35273107221734246}"
6,578,7.0951390000000005,"{'avg_value': -0.8270448939132842, 'avg_value_by_weight': 0.7932448506141849, 'max_value': 0.821985663936782, 'max_value_by_weight': 0.9511302425484047, 'min_value': 0.9954987905716157, 'min_value_by_weight': -0.6702183731545608, 'weight': 0.40754149205766277}"
7,578,77.26577300000001,"{'avg_value': -0.7619457105978693, 'avg_value_by_weight': 0.7111407941732144, 'max_value': -0.5613536837047737, 'max_value_by_weight': 0.6839592402728383, 'min_value': 0.4090100698973944, 'min_value_by_weight': -0.47282001516031524, 'weight': 0.07969310821862075}"
8,777,24.399959000000003,"{'avg_value': -0.10669594671223903, 'avg_value_by_weight': -0.29437588419726324, 'max_value': 0.6989203355548401, 'max_value_by_weight': 0.6686618912867879, 'min_value': 0.9174883771397124, 'min_value_by_weight': 0.650049747798982, 'weight': -0.3296032874821646}"
9,777,37.261030999999996,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
10,777,70.297973,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
11,777,6.116935,"{'avg_value': -0.8560422977374719, 'avg_value_by_weight': 0.9607386167837941, 'max_value': -0.4983829708322677, 'max_value_by_weight': 0.9976692357433232, 'min_value': 0.4884343794502637, 'min_value_by_weight': -0.7227243463072461, 'weight': 0.3336444191211676}"
12,578,25.44544,"{'avg_value': -0.7619457105978693, 'avg_value_by_weight': 0.7111407941732144, 'max_value': -0.5613536837047737, 'max_value_by_weight': 0.6839592402728383, 'min_value': 0.4090100698973944, 'min_value_by_weight': -0.47282001516031524, 'weight': 0.07969310821862075}"
13,777,2400.0,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
14,777,84.85391299999999,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
15,1337,24.625838,"{'avg_value': -0.6293125749228143, 'avg_value_by_weight': 0.5546449056613119, 'max_value': -0.5763857428882668, 'max_value_by_weight': 0.12594361529690357, 'min_value': 0.005573863691051839, 'min_value_by_weight': 0.750794966499511, 'weight': -0.9369253126364323}"
16,1337,35.543813,"{'avg_value': 0.014040205428803354, 'avg_value_by_weight': 0.9158449234172523, 'max_value': -0.7831364484238712, 'max_value_by_weight': -0.019721915568163162, 'min_value': 0.2662916159146478, 'min_value_by_weight': -0.01993719693646212, 'weight': 0.4401683734618733}"
17,777,49.532897,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
18,777,43.899323,"{'avg_value': -0.8785049338012139, 'avg_value_by_weight': 0.6054816321528127, 'max_value': 0.36987760598500463, 'max_value_by_weight': 0.49606736134830776, 'min_value': -0.5938598034182536, 'min_value_by_weight': 0.9495553263505874, 'weight': -0.649149270578212}"
19,777,31.969116,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
20,777,7.680961,"{'avg_value': -0.24840588974561895, 'avg_value_by_weight': 0.9670323068516948, 'max_value': -0.6970524973183645, 'max_value_by_weight': 0.10204547236473172, 'min_value': 0.12671931929953795, 'min_value_by_weight': 0.4029427714675917, 'weight': 0.22452159612862976}"
21,777,14.313270999999999,"{'avg_value': -0.349072609073798, 'avg_value_by_weight': 0.514586790363474, 'max_value': -0.9072002719075972, 'max_value_by_weight': 0.14953672844673416, 'min_value': 0.9797183287105118, 'min_value_by_weight': -0.13886728820813843, 'weight': -0.9137594986789374}"
22,777,23.010281,"{'avg_value': -0.31207591817659863, 'avg_value_by_weight': 0.13797248168796394, 'max_value': -0.7772222717637696, 'max_value_by_weight': 0.9556760053863991, 'min_value': 0.88724864499373, 'min_value_by_weight': 0.6382882053698742, 'weight': -0.9744449795982932}"
23,777,23.119602,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
24,777,20.249444,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
25,777,5.310282,"{'avg_value': 0.10901271458077244, 'avg_value_by_weight': -0.10194186295980467, 'max_value': 0.03708357910702653, 'max_value_by_weight': -0.02277706004227653, 'min_value': 0.7061549033015748, 'min_value_by_weight': 0.39808854850395514, 'weight': -1.0}"
26,777,19.047027999999997,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
