pid,seed,cost,incb
0,777,3.432361,"{'avg_value': -0.583651797028546, 'avg_value_by_weight': 0.42542121639103736, 'max_value': -0.5013889764785919, 'max_value_by_weight': 0.9082905839027116, 'min_value': -0.04310276620326592, 'min_value_by_weight': 0.6337138675282303, 'weight': -0.34401756110467807}"
1,777,2.931504,"{'avg_value': -0.3524766014985563, 'avg_value_by_weight': 0.8342495706954238, 'max_value': -0.8243340519614581, 'max_value_by_weight': 0.6760905224706606, 'min_value': 0.5210555937304209, 'min_value_by_weight': -0.3165830103331585, 'weight': 0.5404392012366619}"
2,777,34.933994999999996,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
3,777,1200.0,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
4,777,6.871011,"{'avg_value': 0.17696444957241875, 'avg_value_by_weight': -0.9565075144620715, 'max_value': -0.5931384637444659, 'max_value_by_weight': 0.9633344172787885, 'min_value': -0.12062920951686429, 'min_value_by_weight': 0.008926324150680287, 'weight': -0.9992744193117511}"
5,777,1200.0,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
6,777,15.676202,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
7,777,15.024733,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
8,777,15.631516999999999,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
9,777,117.679411,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
10,777,3.686048,"{'avg_value': -0.42770073354302296, 'avg_value_by_weight': 0.5858379989776299, 'max_value': -0.3794282493311921, 'max_value_by_weight': 0.7380339838608516, 'min_value': 0.3611172075799949, 'min_value_by_weight': 0.9209666762884163, 'weight': 0.5780491303024873}"
11,777,1200.0,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
12,777,7.278181999999999,"{'avg_value': -0.12105209859275923, 'avg_value_by_weight': -0.9547825916618395, 'max_value': -0.4674371675869713, 'max_value_by_weight': 0.7455558325227001, 'min_value': -0.29698181977372085, 'min_value_by_weight': 0.9294644237448157, 'weight': -0.5643420418421061}"
13,777,4.284723,"{'avg_value': -0.60336481990876, 'avg_value_by_weight': 0.8064775252222967, 'max_value': -0.9205654275945947, 'max_value_by_weight': 0.9759138034879502, 'min_value': 0.6667347787116868, 'min_value_by_weight': -0.25548856875871806, 'weight': 0.5336076896833561}"
14,777,6.775339000000001,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
15,777,4.049973,"{'avg_value': -0.5835494562643659, 'avg_value_by_weight': 0.8064775252222967, 'max_value': -0.8490016157336113, 'max_value_by_weight': 0.8398496461360387, 'min_value': 0.8507912608014114, 'min_value_by_weight': -0.37412298542942435, 'weight': 0.6140760801320662}"
16,777,13.607519,"{'avg_value': -0.16619612908070258, 'avg_value_by_weight': -0.12312296667506595, 'max_value': -0.8429708153360154, 'max_value_by_weight': -0.17640850970221345, 'min_value': 0.18606529119214876, 'min_value_by_weight': 0.9757319949957359, 'weight': -0.2808678306462067}"
17,777,13.470035000000001,"{'avg_value': -0.21140375520763077, 'avg_value_by_weight': -0.09587056921227222, 'max_value': -0.9484171840315526, 'max_value_by_weight': -0.17640850970221345, 'min_value': 0.13237815058274482, 'min_value_by_weight': 0.9723657505089989, 'weight': -0.18336047021188862}"
18,777,13.458563999999999,"{'avg_value': -0.47965165706454793, 'avg_value_by_weight': -0.15415911102607804, 'max_value': -0.9292547450792652, 'max_value_by_weight': 0.9936111801678686, 'min_value': 0.03180418642181393, 'min_value_by_weight': -0.4387657658899926, 'weight': -0.5613310832235288}"
19,777,2.1341390000000002,"{'avg_value': -0.2656874758499379, 'avg_value_by_weight': -0.16897771543405615, 'max_value': -0.5931744173786356, 'max_value_by_weight': 0.8452606737523265, 'min_value': 0.42381868763269126, 'min_value_by_weight': 0.5262937577310625, 'weight': -0.21404054687176366}"
20,777,8.564554,"{'avg_value': -0.7200425205280112, 'avg_value_by_weight': -0.2788232347109272, 'max_value': -0.4577951333303807, 'max_value_by_weight': 0.8330337151556564, 'min_value': 0.10450536846662928, 'min_value_by_weight': 0.5884923465409377, 'weight': -0.9937601452622626}"
21,777,5.777014,"{'avg_value': -0.9465897667045287, 'avg_value_by_weight': -0.4311477631650984, 'max_value': -0.1127109385970575, 'max_value_by_weight': 0.49873527105581283, 'min_value': -0.5018767014579322, 'min_value_by_weight': 0.48002838287476335, 'weight': -0.742361325403914}"
22,777,50.701908,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
23,777,1200.0,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
24,777,9.150015,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
25,777,6.269241,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
26,777,113.866179,"{'avg_value': 0.5219235705710206, 'avg_value_by_weight': -0.024107949765249215, 'max_value': 0.8863486233863618, 'max_value_by_weight': -0.7958049329959671, 'min_value': -0.184317634155295, 'min_value_by_weight': 0.4819669867076899, 'weight': 0.8876146563027185}"
27,777,17.426296,"{'avg_value': -0.16619612908070258, 'avg_value_by_weight': -0.12312296667506595, 'max_value': -0.8429708153360154, 'max_value_by_weight': -0.17640850970221345, 'min_value': 0.18606529119214876, 'min_value_by_weight': 0.9757319949957359, 'weight': -0.2808678306462067}"
28,777,33.10089,"{'avg_value': -0.8809054631169908, 'avg_value_by_weight': -0.6612788374083114, 'max_value': -0.04654270266924865, 'max_value_by_weight': 0.958436761904466, 'min_value': -0.701872468963495, 'min_value_by_weight': 0.6207679421816148, 'weight': -0.6412424226098734}"
29,777,1.644415,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
30,777,29.966088,"{'avg_value': -0.31207591817659863, 'avg_value_by_weight': 0.13797248168796394, 'max_value': -0.7772222717637696, 'max_value_by_weight': 0.9556760053863991, 'min_value': 0.88724864499373, 'min_value_by_weight': 0.6382882053698742, 'weight': -0.9744449795982932}"
31,777,24.123400999999998,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
32,777,5.726044,"{'avg_value': -0.5952709228870645, 'avg_value_by_weight': -0.22586898677418588, 'max_value': -0.572493883171334, 'max_value_by_weight': 0.6839363371896086, 'min_value': 0.4032725393418095, 'min_value_by_weight': 0.9213560624265491, 'weight': 0.06875947504953306}"
33,777,12.544598,"{'avg_value': -0.8809054631169908, 'avg_value_by_weight': -0.6612788374083114, 'max_value': -0.04654270266924865, 'max_value_by_weight': 0.958436761904466, 'min_value': -0.701872468963495, 'min_value_by_weight': 0.6207679421816148, 'weight': -0.6412424226098734}"
34,777,1200.0,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
35,777,2.964181,"{'avg_value': -0.28767785945327295, 'avg_value_by_weight': 0.994027199229951, 'max_value': -0.9269462994371005, 'max_value_by_weight': 0.607772767436602, 'min_value': 0.16458163176149032, 'min_value_by_weight': -0.11864598083396283, 'weight': 0.2161272026344343}"
36,777,10.048603,"{'avg_value': 0.3841007731881183, 'avg_value_by_weight': 0.258285389874239, 'max_value': 0.4715533976941817, 'max_value_by_weight': -0.05144182042760859, 'min_value': 0.03417643417028371, 'min_value_by_weight': 0.8226335149504547, 'weight': -0.9627283124481032}"
37,777,8.992776,"{'avg_value': -0.9895135196072471, 'avg_value_by_weight': 0.19385573951715895, 'max_value': -0.7033398460628133, 'max_value_by_weight': 0.8746572365068781, 'min_value': 0.9526459741325213, 'min_value_by_weight': -0.3277356852082842, 'weight': -0.29827599734942245}"
38,777,23.335958,"{'avg_value': -0.31207591817659863, 'avg_value_by_weight': 0.13797248168796394, 'max_value': -0.7772222717637696, 'max_value_by_weight': 0.9556760053863991, 'min_value': 0.88724864499373, 'min_value_by_weight': 0.6382882053698742, 'weight': -0.9744449795982932}"
