pid,seed,cost,incb
0,777,2.28989,"{'avg_value': 0.010117283928949172, 'avg_value_by_weight': 0.7648107050438779, 'max_value': -0.7923657060105118, 'max_value_by_weight': 0.8002143322461424, 'min_value': 0.8541706691282684, 'min_value_by_weight': 0.5198188200343759, 'weight': 0.6463279633972419}"
1,777,2.820337,"{'avg_value': -0.16619612908070258, 'avg_value_by_weight': -0.18795936265631485, 'max_value': -0.8180067165043247, 'max_value_by_weight': -0.027427965701756207, 'min_value': 0.13277214735059695, 'min_value_by_weight': 0.7886122239117308, 'weight': -0.256252142636911}"
2,777,2.3583350000000003,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
3,777,22.224943999999997,"{'avg_value': 0.6548237051440922, 'avg_value_by_weight': -0.3628243360861998, 'max_value': -0.7743859526107681, 'max_value_by_weight': 0.8597961026841738, 'min_value': -0.6521574300079507, 'min_value_by_weight': 0.9068729090754273, 'weight': -0.9913127647226463}"
4,777,2.612807,"{'avg_value': 0.08136359384026104, 'avg_value_by_weight': 0.8800998654947001, 'max_value': -0.6727599987923368, 'max_value_by_weight': 0.09122499598002287, 'min_value': 0.08610291309814833, 'min_value_by_weight': 0.38697693739709904, 'weight': 0.14610632221214126}"
5,777,9.114057,"{'avg_value': -0.6109300490620153, 'avg_value_by_weight': 0.05083758682610995, 'max_value': 0.1720363891875869, 'max_value_by_weight': 0.13741319901695648, 'min_value': 0.830326204437764, 'min_value_by_weight': 0.8164447684453491, 'weight': -0.8131981730549211}"
6,777,4.395054,"{'avg_value': -0.6951001162721384, 'avg_value_by_weight': -0.3536003407653434, 'max_value': -0.3527048986815948, 'max_value_by_weight': 0.9714199472241394, 'min_value': 0.2803438510092544, 'min_value_by_weight': -0.3282398701494402, 'weight': -0.7150644579572476}"
7,777,3.506437,"{'avg_value': -0.5835494562643659, 'avg_value_by_weight': 0.8064775252222967, 'max_value': -0.8490016157336113, 'max_value_by_weight': 0.8398496461360387, 'min_value': 0.8507912608014114, 'min_value_by_weight': -0.37412298542942435, 'weight': 0.6140760801320662}"
8,777,4.39714,"{'avg_value': -0.358449642050916, 'avg_value_by_weight': -0.1600880049296134, 'max_value': -0.5822428927790964, 'max_value_by_weight': 0.8969078080816275, 'min_value': 0.5407031740211903, 'min_value_by_weight': -0.27605234001231205, 'weight': -0.13562262444985196}"
9,777,2.0055680000000002,"{'avg_value': -0.16619612908070258, 'avg_value_by_weight': -0.12312296667506595, 'max_value': -0.8429708153360154, 'max_value_by_weight': -0.17640850970221345, 'min_value': 0.18606529119214876, 'min_value_by_weight': 0.9757319949957359, 'weight': -0.2808678306462067}"
10,777,6.0150760000000005,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
11,777,15.840000999999999,"{'avg_value': -0.16619612908070258, 'avg_value_by_weight': -0.12312296667506595, 'max_value': -0.8429708153360154, 'max_value_by_weight': -0.17640850970221345, 'min_value': 0.18606529119214876, 'min_value_by_weight': 0.9757319949957359, 'weight': -0.2808678306462067}"
