pid,seed,cost,incb
0,578,6.357227,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
1,983439,4.362902,"{'avg_value': -0.0014950099008288475, 'avg_value_by_weight': 0.7991839908267544, 'max_value': -0.7731506770486418, 'max_value_by_weight': 0.7770623312325244, 'min_value': 0.316688728527156, 'min_value_by_weight': 0.38357469109161246, 'weight': 0.4726879347524944}"
2,578,9.718676,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
3,578,5.379664,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
4,1337,6.267239,"{'avg_value': -0.024552641146327936, 'avg_value_by_weight': 0.6678305115752423, 'max_value': -0.7755390270137388, 'max_value_by_weight': 0.6122780997461932, 'min_value': 0.37970922840764154, 'min_value_by_weight': 0.8908698767709247, 'weight': 0.6570575198934503}"
5,470,7.014518,"{'avg_value': 0.18957673743289294, 'avg_value_by_weight': 0.08606415530195455, 'max_value': -0.7862834399846483, 'max_value_by_weight': -0.0318657370175639, 'min_value': 0.1779724202604518, 'min_value_by_weight': 0.48220628408578947, 'weight': 0.060486801228542886}"
6,578,5.941755,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
7,983439,3.749038,"{'avg_value': -0.28392216962880235, 'avg_value_by_weight': 0.22687630979009876, 'max_value': -0.4144209798080085, 'max_value_by_weight': 0.2693504876907453, 'min_value': 0.7217441067395918, 'min_value_by_weight': 0.5521888573824549, 'weight': 0.28920793710684456}"
8,3345,7.029504,"{'avg_value': -0.7075385778054928, 'avg_value_by_weight': 0.686875839901228, 'max_value': -0.43768540429298786, 'max_value_by_weight': -0.16784954222217796, 'min_value': 0.22356859791160066, 'min_value_by_weight': 0.7568765598345941, 'weight': 0.6912419616638512}"
9,983439,8.548526,"{'avg_value': 0.05557725141138059, 'avg_value_by_weight': 0.613295334585876, 'max_value': -0.7126739557667949, 'max_value_by_weight': 0.32313510616185614, 'min_value': 0.7003562236619636, 'min_value_by_weight': 0.46589700862155614, 'weight': 0.9928046069716328}"
10,1337,25.049081,"{'avg_value': 0.054717408411625534, 'avg_value_by_weight': 0.9059163262343282, 'max_value': -0.6614794511958435, 'max_value_by_weight': -0.017349159775132295, 'min_value': 0.2662916159146478, 'min_value_by_weight': 0.3176446813595808, 'weight': 0.41468344621245445}"
